央视频道,#genre#
CCTV-01高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv1.m3u8
CCTV-02高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv2.m3u8
CCTV-03高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv3.m3u8
CCTV-04高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv4.m3u8
CCTV-05高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv5.m3u8
CCTV-5+高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv5p.m3u8
CCTV-06高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv6.m3u8
CCTV-07高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv7.m3u8
CCTV-08高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv8.m3u8
CCTV-09高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv9.m3u8
CCTV-10高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv10.m3u8
CCTV-11高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv11.m3u8
CCTV-12高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv12.m3u8
CCTV-13高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv13.m3u8
CCTV-14高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv14.m3u8
CCTV-15高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv15.m3u8
CCTV-16高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv16.m3u8
CCTV-17高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv17.m3u8
CCTV-4k高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv4k.m3u8
CCTV-8k高码,http://wxdwxd.duckdns.org:35455/gaoma/cctv8k_36m.m3u8
央卫咪咕,#genre#
CCTV-01咪咕,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-02咪咕,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-03咪咕,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-04咪咕,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-05咪咕,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+咪咕,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-06咪咕,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-07咪咕,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-08咪咕,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-09咪咕,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10咪咕,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11咪咕,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12咪咕,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13咪咕,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14咪咕,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15咪咕,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-16咪咕,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17咪咕,http://z.b.bkpcp.top/m.php?id=cctv17
